Name,Location,Latitude,Longitude,CI_cyano(CyAN),CI_cyano(S3),CI_cyano(PACE)
pin_16,Lake Erie,41.737416,-83.378214,0.010354889,0.006825524,0.004723686
pin_17,Lake Erie,41.74973,-83.353585,0.015942976,0.011063417,0.012450744
pin_18,Lake Erie,41.762044,-83.328957,0.020878987,0.022865446,0.013884144
pin_19,Lake Erie,41.774358,-83.316643,0.010637986,0.012794162,0.019832734
pin_20,Lake Erie,41.786672,-83.292014,0.009048475,0.012661325,0.007983761
pin_21,Lake Erie,41.798987,-83.267386,0.00672545,0.007750968,0.009749578
pin_22,Lake Erie,41.811301,-83.242757,0.003817047,0.002999823,0.004147788
pin_23,Lake Erie,41.823615,-83.230443,1.15E-04,0.001222738,0.002123919
pin_24,Lake Erie,41.712787,-83.378214,0.009811092,0.006461179,0.005277221
pin_25,Lake Erie,41.725101,-83.353585,0.00729228,0.005228332,0.004822394
pin_26,Lake Erie,41.737416,-83.328957,0.012173892,0.007762249,0.006823749
pin_27,Lake Erie,41.74973,-83.304328,0.052237861,0.046505086,0.026349774
pin_28,Lake Erie,41.762044,-83.292014,0.050847713,0.061000001,0.034045223
pin_29,Lake Erie,41.774358,-83.267386,0.019256057,0.024023078,0.023386013
pin_30,Lake Erie,41.786672,-83.242757,0.010354889,0.012542161,0.015545361
pin_31,Lake Erie,41.798987,-83.218129,0.005275885,0.011335124,0.008744454
pin_32,Lake Erie,41.811301,-83.1935,0.001017985,0.002208337,0.002755211
pin_33,Lake Erie,41.712787,-83.341271,0.005135483,0.007565244,0.007716298
pin_34,Lake Erie,41.725101,-83.316643,0.012173892,0.012203511,0.006345109
pin_35,Lake Erie,41.737416,-83.304328,0.044432566,0.039846417,0.016090501
pin_36,Lake Erie,41.74973,-83.292014,0.058189072,0.040721942,0.026349774
pin_37,Lake Erie,41.74973,-83.267386,0.025217813,0.023000771,0.018789453
pin_38,Lake Erie,41.762044,-83.255071,0.027343201,0.021708647,0.021916859
pin_39,Lake Erie,41.774358,-83.230443,0.015105719,0.021382364,0.023153635
pin_40,Lake Erie,41.786672,-83.205815,0.018244812,0.015128518,0.022879707
pin_41,Lake Erie,41.798987,-83.181186,0.006202681,0.007933984,0.015143015
pin_42,Lake Erie,41.712787,-83.316643,0.012173892,0.011921452,0.007716298
pin_43,Lake Erie,41.725101,-83.292014,0.014703726,0.015948873,0.009957072
pin_44,Lake Erie,41.737416,-83.267386,0.029647728,0.027672222,0.015537099
pin_45,Lake Erie,41.74973,-83.242757,0.023257624,0.017366391,0.018789453
pin_46,Lake Erie,41.762044,-83.230443,0.034855831,0.02293211,0.019034395
pin_47,Lake Erie,41.762044,-83.218129,0.025907254,0.0254138,0.019034395
pin_48,Lake Erie,41.774358,-83.1935,0.018743616,0.02257281,0.02842056
pin_49,Lake Erie,41.786672,-83.181186,0.030458283,0.026281226,0.022879707
pin_50,Lake Erie,41.798987,-83.156558,0.003715466,0.012089383,0.012470881
pin_51,Lake Erie,41.700473,-83.292014,0.009811092,0.008681178,0.005884873
pin_52,Lake Erie,41.712787,-83.2797,0.015105719,0.010070715,0.008028977
pin_53,Lake Erie,41.725101,-83.267386,0.029647728,0.018570853,0.007794403
pin_54,Lake Erie,41.725101,-83.255071,0.016826641,0.014290799,0.007794403
pin_55,Lake Erie,41.737416,-83.242757,0.019256057,0.014011655,0.011790172
pin_56,Lake Erie,41.737416,-83.230443,0.01250672,0.012055817,0.01075148
pin_57,Lake Erie,41.74973,-83.218129,0.023257624,0.019635338,0.014200962
pin_58,Lake Erie,41.762044,-83.1935,0.025217813,0.02989649,0.029847557
pin_59,Lake Erie,41.774358,-83.168872,0.027343201,0.024602622,0.02842056
pin_60,Lake Erie,41.786672,-83.144243,0.010354889,0.025076909,0.023688119
pin_61,Lake Erie,41.798987,-83.119615,0.001567348,0.00296694,0.007025816
pin_62,Lake Erie,41.700473,-83.267386,0.006202681,0.003063551,0.003182098
pin_63,Lake Erie,41.712787,-83.255071,0.008345136,0.008601561,0.004908816
pin_64,Lake Erie,41.725101,-83.230443,0.011227611,0.006746969,0.007901623
pin_65,Lake Erie,41.737416,-83.205815,0.013560802,0.012277529,0.01075148
pin_66,Lake Erie,41.74973,-83.181186,0.032146476,0.033240385,0.02653021
pin_67,Lake Erie,41.762044,-83.156558,0.040978819,0.038442187,0.027375476
pin_68,Lake Erie,41.774358,-83.131929,0.028858745,0.061000001,0.031779774
pin_69,Lake Erie,41.786672,-83.107301,0.003160308,0.003250417,0.012707944
pin_70,Lake Erie,41.688159,-83.255071,0.003921403,0.002976653,0.002621736
pin_71,Lake Erie,41.700473,-83.242757,0.004368149,0.003348924,0.003182098
